Дистр.,Привязка в CRM,Значение привязки в CRM,Клиент,ИНН клиента,Регион,Город,Улица,Информация из CRM по ИНН наименование АС,Информация из CRM по ИНН КАМ АС,Информация из CRM Наименование ЕА,Информация из CRM МП ЕА,Регион МП,Регион в CRM по области аптеки
Фармкомплект,5916027419_b030919ad9460dfaecefcffeed765095,"Нытва-Фарм ООО, г.Воткинск, ул.Кирова,78; 5916027419; 427440, Удмуртская Респ, Воткинск г, Кирова ул, дом № 78; 5916027419_b030919ad9460dfaecefcffeed765095",ОПЕКА Нытва-Фарм ООО г.Ижевск,5916027419,Удмуртская респ.,Удмуртия (Ижевск),"427440, Удмуртская Респ, Воткинск г, Кирова ул, дом № 78",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Верхнее Поволжье
Агроресурсы,511462.00,"АЛЕКС МЕД ООО, г.Оренбург, ул.Мусы Джалиля, д.6; Оренбургская обл; Оренбург г; ул. Мусы Джалиля, д. №6, помещение 7М; 511462.00; 5612161733","АЛЕКС МЕД ООО, г.Оренбург, ул.Мусы Джалиля, д.6",5612161733,Оренбургская обл.,Оренбург г,"ул. Мусы Джалиля, д. №6, помещение 7М",АС ЛПУ НПФО,Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,516895.00,"Аптека 222 ООО,г.Тольятти, ул. 40 лет Победы д. 28; Самарская обл; Тольятти г; ул. 40 лет Победы, д. 28, корп. 1 этаж, помещение; 516895.00; 6311062723","Аптека 222 ООО,г.Тольятти, ул. 40 лет Победы д. 28",6311062723,Самарская обл.,Тольятти г,"ул. 40 лет Победы, д. 28, корп. 1 этаж, помещение",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,516896.00,"Аптека 222 ООО,г.Тольятти,ул. 40 лет Победы, д. 47-В; Самарская обл; Тольятти г; ул. 40 лет Победы, д. 47-В, корп. 1 этаж, кв. №2; 516896.00; 6311062723","Аптека 222 ООО,г.Тольятти,ул. 40 лет Победы, д. 47-В",6311062723,Самарская обл.,Тольятти г,"ул. 40 лет Победы, д. 47-В, корп. 1 этаж, кв. №2",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,512978.00,"Аптека 222 ООО,г.Тольятти,ул. Льва Яшина д. 14; Самарская обл; Тольятти г; ул. Льва Яшина, д. 14, корп. часть помещения № 14(; 512978.00; 6311062723","Аптека 222 ООО,г.Тольятти,ул. Льва Яшина д. 14",6311062723,Самарская обл.,Тольятти г,"ул. Льва Яшина, д. 14, корп. часть помещения № 14(",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,503426.00,"Аптека 245 ООО,г.Тольятти,ул.70 лет Октября,д.31; Самарская обл; Тольятти г; ул. 70 лет Октября, д. 31, корп. 1 этаж,кв.№6(офис; 503426.00; 6321112412","Аптека 245 ООО,г.Тольятти,ул.70 лет Октября,д.31",6321112412,Самарская обл.,Тольятти г,"ул. 70 лет Октября, д. 31, корп. 1 этаж,кв.№6(офис",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,503423.00,"Аптека 245 ООО,г.Тольятти,ул.Дзержинского,д.21; Самарская обл; Тольятти г; ул. Дзержинского, д. 21, корп. цок.этаж,кв№1(секци; 503423.00; 6321112412","Аптека 245 ООО,г.Тольятти,ул.Дзержинского,д.21",6321112412,Самарская обл.,Тольятти г,"ул. Дзержинского, д. 21, корп. цок.этаж,кв№1(секци",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,503428.00,"Аптека 245 ООО,г.Тольятти,ул.Приморский бульвар,д.15; Самарская обл; Тольятти г; ул. Приморский бульвар, д. 15, корп. этаж1,кв.25,3; 503428.00; 6321112412","Аптека 245 ООО,г.Тольятти,ул.Приморский бульвар,д.15",6321112412,Самарская обл.,Тольятти г,"ул. Приморский бульвар, д. 15, корп. этаж1,кв.25,3",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,504570.00,"Аптека 245 ООО,г.Тольятти,ул.Революционная,д.6,отдел 2; Самарская обл; Тольятти г; ул. Революционная, д. 6,отдел 2; 504570.00; 6321112412","Аптека 245 ООО,г.Тольятти,ул.Революционная,д.6,отдел 2",6321112412,Самарская обл.,Тольятти г,"ул. Революционная, д. 6,отдел 2",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,504571.00,"Аптека 245 ООО,г.Тольятти,ул.Революционная,д.6,отдел 4; Самарская обл; Тольятти г; ул. Революционная, д. 6,отдел 4; 504571.00; 6321112412","Аптека 245 ООО,г.Тольятти,ул.Революционная,д.6,отдел 4",6321112412,Самарская обл.,Тольятти г,"ул. Революционная, д. 6,отдел 4",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,516897.00,"Аптека 245 ООО,г.Тольятти,ул.Спортивная, д. 4-В; Самарская обл; Тольятти г; ул. Спортивная, д. 4-В, корп. 1 этаж, ком. № 54; 516897.00; 6321112412","Аптека 245 ООО,г.Тольятти,ул.Спортивная, д. 4-В",6321112412,Самарская обл.,Тольятти г,"ул. Спортивная, д. 4-В, корп. 1 этаж, ком. № 54",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,515551.00,"Аптека Столетник ООО, г.Казань, ул. Маршала Чуйкова, д. 52; Татарстан Респ; Казань г; ул. Маршала Чуйкова, д. 52; 515551.00; 1657080068","Аптека Столетник ООО, г.Казань, ул. Маршала Чуйкова, д. 52",1657080068,Татарстан респ.,Казань г,"ул. Маршала Чуйкова, д. 52",МС Созвездие,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Верхнее Поволжье
Агроресурсы,505090.00,"Аптеки Удмуртии ГУП УР, Аптечный пункт №224; Удмуртская Респ; Красногорское с; ул. Советская, д. 3; 505090.00; 1831169946","Аптеки Удмуртии ГУП УР, Аптечный пункт №224",1831169946,Удмуртская респ.,Красногорское с,"ул. Советская, д. 3",АС Аптеки Удмуртии,Кабакин Илья,Нет в CRM,Нет в CRM,Нет в CRM,Верхнее Поволжье
Агроресурсы,518734.00,"АПТЕЧНЫЙ СКЛАД ""КАЗАНЬ"" ООО ,г.Ижевск, ул. им.Татьяны Барамзиной, д. 12; Удмуртская Респ; Ижевск г; ул. им.Татьяны Барамзиной, д. 12; 518734.00; 2311242373","АПТЕЧНЫЙ СКЛАД ""КАЗАНЬ"" ООО ,г.Ижевск, ул. им.Татьяны Барамзиной, д. 12",2311242373,Удмуртская респ.,Ижевск г,"ул. им.Татьяны Барамзиной, д. 12",Апрель АС Отрада ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Верхнее Поволжье
Агроресурсы,512400.00,"АПТЕЧНЫЙ СКЛАД ""КАЗАНЬ"" ООО, г.Ижевск, ул. Пушкинская, д. 171; Удмуртская Респ; Ижевск г; ул. Пушкинская, д. 171; 512400.00; 2311242373","АПТЕЧНЫЙ СКЛАД ""КАЗАНЬ"" ООО, г.Ижевск, ул. Пушкинская, д. 171",2311242373,Удмуртская респ.,Ижевск г,"ул. Пушкинская, д. 171",Апрель АС Отрада ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Верхнее Поволжье
Агроресурсы,518357.00,"АПТЕЧНЫЙ СКЛАД ""КАЗАНЬ"" ОООр-н.Куюргазинский, с/с.Ермолаевский, ул. Мира, д. 8 В; Башкортостан Респ; Ермолаевский с/с; ул. Мира, д. 8 В; 518357.00; 2311242373","АПТЕЧНЫЙ СКЛАД ""КАЗАНЬ"" ОООр-н.Куюргазинский, с/с.Ермолаевский, ул. Мира, д. 8 В",2311242373,Башкортостан респ.,Ермолаевский с/с,"ул. Мира, д. 8 В",Апрель АС Отрада ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,36872.00,"ГАУЗ ""РКБ им. Н.А. Семашко""; Бурятия Респ; Улан-Удэ г; ул. Павлова, д. 12; 36872.00; 0323054162","ГАУЗ ""РКБ им. Н.А. Семашко""",323054162,Бурятия респ.,Улан-Удэ г,"ул. Павлова, д. 12",Нет в CRM,Нет в CRM,ЕА РКБ им. Семашко_,Ходоева Ольга,Западная Сибирь,Западная Сибирь
Агроресурсы,508803.00,"Дежурная аптека ООО, г.Тольятти, бульвар Королева, д.20; Самарская обл; Тольятти г; ул. бульвар Королева, д. 20, 1 этаж, ком.№№41а, 41; 508803.00; 6321330629","Дежурная аптека ООО, г.Тольятти, бульвар Королева, д.20",6321330629,Самарская обл.,Тольятти г,"ул. бульвар Королева, д. 20, 1 этаж, ком.№№41а, 41",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,509078.00,"Дежурная аптека ООО, г.Тольятти, Южное шоссе, д.5-А; Самарская обл; Тольятти г; ул. Южное шоссе, д. 5-А, 1 этаж, часть пом.№16(офи; 509078.00; 6321330629","Дежурная аптека ООО, г.Тольятти, Южное шоссе, д.5-А",6321330629,Самарская обл.,Тольятти г,"ул. Южное шоссе, д. 5-А, 1 этаж, часть пом.№16(офи",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,503436.00,"Дежурная аптека ООО,г.Тольятти,ул.70 лет Октября,д.56; Самарская обл; Тольятти г; ул. 70 лет Октября, д. 56, корп. 1 этаж; 503436.00; 6321330629","Дежурная аптека ООО,г.Тольятти,ул.70 лет Октября,д.56",6321330629,Самарская обл.,Тольятти г,"ул. 70 лет Октября, д. 56, корп. 1 этаж",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,503434.00,"Дежурная аптека ООО,г.Тольятти,ул.Офицерская,д.4а; Самарская обл; Тольятти г; ул. Офицерская, д. 4а, корп. 1 этаж,ком№63-68; 503434.00; 6321330629","Дежурная аптека ООО,г.Тольятти,ул.Офицерская,д.4а",6321330629,Самарская обл.,Тольятти г,"ул. Офицерская, д. 4а, корп. 1 этаж,ком№63-68",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,503435.00,"Дежурная аптека ООО,г.Тольятти,ул.Тополиная,д.24а; Самарская обл; Тольятти г; ул. Тополиная, д. 24а, корп. 1 этаж,ком.№5,6,7,9,9; 503435.00; 6321330629","Дежурная аптека ООО,г.Тольятти,ул.Тополиная,д.24а",6321330629,Самарская обл.,Тольятти г,"ул. Тополиная, д. 24а, корп. 1 этаж,ком.№5,6,7,9,9",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,518448.00,"еАптека ООО, г. Ижевск, ул. Удмуртская, д. 282; Удмуртская Респ; Ижевск г; ул. Удмуртская, д. 282, корп. помещение № 2-5; 518448.00; 7704865540","еАптека ООО, г. Ижевск, ул. Удмуртская, д. 282",7704865540,Удмуртская респ.,Ижевск г,"ул. Удмуртская, д. 282, корп. помещение № 2-5",АС еАптека,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Верхнее Поволжье
Агроресурсы,514920.00,"Идеал ООО, г.Самара, ул.Ерошевского, д. 20, 1 этаж помещение № 6 (офис А); Самарская обл; Самара г; ул. Ерошевского, д. 20, 1 этаж, помещение № 6 (офи; 514920.00; 6330051540","Идеал ООО, г.Самара, ул.Ерошевского, д. 20, 1 этаж помещение № 6 (офис А)",6330051540,Самарская обл.,Самара г,"ул. Ерошевского, д. 20, 1 этаж, помещение № 6 (офи",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,513544.00,"Идеал ООО, г.Самара, ул.Садовая, д.176; Самарская обл; Самара г; ул. Садовая, д. 176, 1 этаж, нежилое помещение №н9; 513544.00; 6330051540","Идеал ООО, г.Самара, ул.Садовая, д.176",6330051540,Самарская обл.,Самара г,"ул. Садовая, д. 176, 1 этаж, нежилое помещение №н9",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,513541.00,"Идеал ООО, г.Тольятти, ул.Шлюзовая, д.31; Самарская обл; Тольятти г; ул. Шлюзовая, д. 31, этаж 1, Литер А, комната №№2,; 513541.00; 6330051540","Идеал ООО, г.Тольятти, ул.Шлюзовая, д.31",6330051540,Самарская обл.,Тольятти г,"ул. Шлюзовая, д. 31, этаж 1, Литер А, комната №№2,",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,518263.00,"Идеал ООО, м-н.Крутые Ключи, ул.Маршала Устинова, зд.№1; Самарская обл; Самара г; ул. Маршала Устинова, д. здание № 1, этаж № 1, ком; 518263.00; 6330051540","Идеал ООО, м-н.Крутые Ключи, ул.Маршала Устинова, зд.№1",6330051540,Самарская обл.,Самара г,"ул. Маршала Устинова, д. здание № 1, этаж № 1, ком",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,513681.00,"ИП Боголюбова Е.В., г.Иваново, ул. Войкова, д. 13; Ивановская обл; Иваново г; ул. Войкова, д. 13; 513681.00; 370244056642","ИП Боголюбова Е.В., г.Иваново, ул. Войкова, д. 13",370244056642,Ивановская обл.,Иваново г,"ул. Войкова, д. 13",Нет в CRM,Нет в CRM,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Агроресурсы,508206.00,"ИП Евсеенкова Е.Н., г.Чайковский, ул.Советская, д.34, пом.165; Пермский край; Чайковский г; ул. Советская, д. 34, пом.165; 508206.00; 590202729245","ИП Евсеенкова Е.Н., г.Чайковский, ул.Советская, д.34, пом.165",590202729245,Пермский край,Чайковский г,"ул. Советская, д. 34, пом.165",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,52097.00,"ИП Жигжитова А.В. г.Улан-Удэ, ул.Смолина, д.63, пом.15; Бурятия Респ; Улан-Удэ г; ул. Смолина, д. 63, корп. пом.15; 52097.00; 381250940223","ИП Жигжитова А.В. г.Улан-Удэ, ул.Смолина, д.63, пом.15",381250940223,Бурятия респ.,Улан-Удэ г,"ул. Смолина, д. 63, корп. пом.15",АС ИП Жигжитова,Якобсон Пётр,Нет в CRM,Нет в CRM,Нет в CRM,Западная Сибирь
Агроресурсы,502552.00,"ИП Зиновская Н.В., г.Пермь, ул. Ленина, д. 94; Пермский край; Пермь г; ул. Ленина, д. 94; 502552.00; 590405537228","ИП Зиновская Н.В., г.Пермь, ул. Ленина, д. 94",590405537228,Пермский край,Пермь г,"ул. Ленина, д. 94",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,508025.00,"ИП Кадатская Г.В., г.Краснокамск, ул.Сосновая горка, д.9; Пермский край; Краснокамск г; ул. Сосновая горка, д. 9; 508025.00; 591601754485","ИП Кадатская Г.В., г.Краснокамск, ул.Сосновая горка, д.9",591601754485,Пермский край,Краснокамск г,"ул. Сосновая горка, д. 9",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,512544.00,"ИП Козий С.С., г.Владимир, ул. Гагарина, д. 1; Владимирская обл; Владимир г; ул. Гагарина, д. 1; 512544.00; 332908092110","ИП Козий С.С., г.Владимир, ул. Гагарина, д. 1",332908092110,Владимирская обл.,Владимир г,"ул. Гагарина, д. 1",ИП Козий С.С.,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Агроресурсы,509775.00,"ИП Коротаева Л.А., рп.Уральский, ул. Набережная, д. 14; Пермский край; Уральский рп; ул. Набережная, д. 14; 509775.00; 594200256872","ИП Коротаева Л.А., рп.Уральский, ул. Набережная, д. 14",594200256872,Пермский край,Уральский рп,"ул. Набережная, д. 14",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,512607.00,"ИП Крупакова Н.К., г.Владимир, ул. Горького, д. 64; Владимирская обл; Владимир г; ул. Горького, д. 64; 512607.00; 332601766104","ИП Крупакова Н.К., г.Владимир, ул. Горького, д. 64",332601766104,Владимирская обл.,Владимир г,"ул. Горького, д. 64",АС Мир Лекарств Иваново,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Агроресурсы,514688.00,"ИП Крупакова Н.К., р-н Собинский, г.Собинка, ул. Димитрова, д. 17, неж. помещ. 1 этаж; Владимирская обл; Собинка г; ул. Димитрова, д. 17, неж.пом. 1 этаж; 514688.00; 332601766104","ИП Крупакова Н.К., р-н Собинский, г.Собинка, ул. Димитрова, д. 17, неж. помещ. 1 этаж",332601766104,Владимирская обл.,Собинка г,"ул. Димитрова, д. 17, неж.пом. 1 этаж",АС Мир Лекарств Иваново,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Агроресурсы,502593.00,"ИП Кусекеева Ю. А., г.Пермь, шоссе Космонавтов, д.57; Пермский край; Пермь г; ул. шоссе Космонавтов, д. 57, литер А1; 502593.00; 590309960021","ИП Кусекеева Ю. А., г.Пермь, шоссе Космонавтов, д.57",590309960021,Пермский край,Пермь г,"ул. шоссе Космонавтов, д. 57, литер А1",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,509487.00,"ИП Кусекеева Ю. А., с.Усть-Качка, ул. Победы, д. 18; Пермский край; Усть-Качка с; ул. Победы, д. 18; 509487.00; 590309960021","ИП Кусекеева Ю. А., с.Усть-Качка, ул. Победы, д. 18",590309960021,Пермский край,Усть-Качка с,"ул. Победы, д. 18",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,509496.00,"ИП Маланичева Л.А.  с.Култаево, ул. Октябрьская, д. 18; Пермский край; Култаево с; ул. Октябрьская, д. 18; 509496.00; 590314657101","ИП Маланичева Л.А.  с.Култаево, ул. Октябрьская, д. 18",590314657101,Пермский край,Култаево с,"ул. Октябрьская, д. 18",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,515800.00,"ИП Мусина С.Р., г.Уфа, ул.Кольцевая, д.203, корп.2; Башкортостан Респ; Уфа г; ул. Кольцевая, д. 203, корп. 2; 515800.00; 027415104806","ИП Мусина С.Р., г.Уфа, ул.Кольцевая, д.203, корп.2",27415104806,Башкортостан респ.,Уфа г,"ул. Кольцевая, д. 203, корп. 2",Нет в CRM,Нет в CRM,"ЕА ИП МУСИНА С.Р. г. Уфа, ул. Кольцевая, 203 кор.2 ",ufa,Нижнее Поволжье,Нижнее Поволжье
Агроресурсы,52186.00,"ИП Сергеева Наталья Викторовна, г.Краснокаменск, ул.7-ой микрорайон, д.701/1; Забайкальский край; Краснокаменск г; ул. 7-ой микрорайон, д. 701/1; 52186.00; 753000620018","ИП Сергеева Наталья Викторовна, г.Краснокаменск, ул.7-ой микрорайон, д.701/1",753000620018,Забайкальский край,Краснокаменск г,"ул. 7-ой микрорайон, д. 701/1",Нет в CRM,Нет в CRM,Нет в CRM,Нет в CRM,Нет в CRM,Западная Сибирь
Агроресурсы,512680.00,"ИП Субботина Т.В., г.Кострома, пр-кт Мира, д. 71; Костромская обл; Кострома г; ул. пр-кт Мира, д. 71; 512680.00; 370244173314","ИП Субботина Т.В., г.Кострома, пр-кт Мира, д. 71",370244173314,Костромская обл.,Кострома г,"ул. пр-кт Мира, д. 71",АС Мир Лекарств Иваново,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Агроресурсы,48936.00,"ИП Шамсутдинова Г.П. г.Чита, Романовский тракт, 86; Забайкальский край; Чита г; ул. Романовский тракт, д. 86, корп. пом.1; 48936.00; 752200127506","ИП Шамсутдинова Г.П. г.Чита, Романовский тракт, 86",752200127506,Забайкальский край,Чита г,"ул. Романовский тракт, д. 86, корп. пом.1",АС ИП Шамсутдинова Г.П. (АСНА),Якобсон Пётр,Нет в CRM,Нет в CRM,Нет в CRM,Западная Сибирь
Агроресурсы,518148.00,"МУП ""Фармация"", г.Гаврилов Посад, ул. 3 Интернационала, д. 10; Ивановская обл; Гаврилов Посад г; ул. 3 Интернационала, д. 10; 518148.00; 3709000133","МУП ""Фармация"", г.Гаврилов Посад, ул. 3 Интернационала, д. 10",3709000133,Ивановская обл.,Гаврилов Посад г,"ул. 3 Интернационала, д. 10","МУП ""Фармация""  (АСНА) Иваново",Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Агроресурсы,32734.00,"МУП ""Центральная аптека"" Лесной, Фрунзе,5; Свердловская обл; Лесной г; ул. Фрунзе, д. 5; 32734.00; 6630001188","МУП ""Центральная аптека"" Лесной, Фрунзе,5",6630001188,Свердловская обл.,Лесной г,"ул. Фрунзе, д. 5",МУП ЦА,Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,24461.00,"МУП ЦРА №26; Томская обл; Парабель с; ул. Советская, д. 15; 24461.00; 7011000301",МУП ЦРА №26,7011000301,Томская обл.,Парабель с,"ул. Советская, д. 15",Нет в CRM,Нет в CRM,Парабельская центральная районная аптека №26,LPU_ZS,Западная Сибирь,Западная Сибирь
